epoch,elapsed_s,cpu_used_pct,load1,load5,load15,mem_used_mb,mem_avail_mb,swap_used_mb,nproc_zephyr,rss_zephyr_mb,open_fds,gw_cpu_millicores,gw_mem_mi
1781953890.319,1930.0,95.03,94.77,75.96,73.14,9804.1,117994.7,0.3,1000,35539.7,17184,5,169
1781953893.319,1933.0,92.37,92.63,75.82,73.11,9834.3,117964.5,0.3,1000,35539.7,17120,10,171
1781953896.319,1936.0,92.92,92.63,75.82,73.11,9824.1,117974.7,0.3,1000,35539.7,17056,10,171
1781953899.319,1939.0,94.01,88.49,75.25,72.93,9797.6,118001.2,0.3,1000,35539.7,17056,10,171
1781953902.319,1942.0,90.96,88.85,75.54,73.04,9948.4,117850.4,0.3,1000,35539.7,17120,10,171
1781953905.319,1945.0,91.38,88.85,75.54,73.04,9882.4,117916.4,0.3,1000,35539.7,17120,12,173
1781953908.32,1948.0,93.51,86.54,75.28,72.97,9834.6,117964.3,0.3,1000,35539.7,17184,12,173
1781953911.32,1951.0,91.52,86.54,75.28,72.97,9812.0,117986.9,0.3,1000,35539.7,17184,12,173
1781953914.32,1954.0,92.42,82.74,74.68,72.79,9905.3,117893.6,0.3,1000,35539.7,17184,12,173
1781953917.32,1957.0,91.35,91.25,76.58,73.41,9997.0,117801.9,0.3,1000,35539.7,17184,6,173
1781953920.32,1960.0,92.33,91.25,76.58,73.41,9838.7,117960.2,0.3,1000,35539.7,17184,6,173
1781953923.321,1963.0,91.99,89.22,76.4,73.37,9866.0,117933.0,0.3,1000,35539.7,17184,6,173
1781953926.321,1966.0,93.47,89.22,76.4,73.37,9967.5,117831.4,0.3,1000,35539.7,17248,6,173
1781953929.321,1969.0,92.21,93.13,77.43,73.72,9920.9,117878.0,0.3,1000,35539.7,17248,6,173
1781953932.321,1972.0,90.41,89.04,76.84,73.55,9825.8,117973.1,0.3,1000,35539.7,17248,6,173
1781953935.321,1975.0,92.19,89.04,76.84,73.55,9820.5,117978.5,0.3,1000,35539.7,17184,6,173
1781953938.321,1978.0,93.33,90.95,77.44,73.76,9835.4,117963.5,0.3,1000,35539.7,17248,6,173
1781953941.321,1981.0,92.32,90.95,77.44,73.76,9982.8,117816.2,0.3,1000,35539.7,17312,5,173
1781953944.321,1984.0,89.36,118.35,83.34,75.69,9855.5,117943.5,0.3,1000,35539.7,17376,5,173
1781953947.321,1987.0,92.38,112.07,82.62,75.5,9977.1,117821.8,0.3,1000,35539.7,17376,5,173
1781953950.321,1990.0,94.36,112.07,82.62,75.5,9969.9,117829.1,0.3,1000,35539.7,17312,5,173
1781953953.322,1993.0,93.62,106.78,82.01,75.34,9831.3,117967.6,0.3,1000,35539.7,17312,14,174
1781953956.322,1996.0,92.3,106.78,82.01,75.34,9834.6,117964.4,0.3,1000,35539.7,17248,14,174
1781953959.322,1999.0,94.0,102.47,81.53,75.22,9819.0,117980.1,0.3,1000,35539.7,17248,14,174
1781953962.322,2002.0,94.78,101.55,81.69,75.31,9803.1,117996.0,0.3,1000,35539.7,17248,14,174
1781953965.322,2005.0,93.11,101.55,81.69,75.31,9876.5,117922.6,0.3,1000,35539.7,17184,5,174
1781953968.323,2008.0,91.92,98.15,81.31,75.22,9890.2,117908.9,0.3,1000,35539.7,16992,5,174
1781953971.323,2011.0,92.05,98.15,81.31,75.22,9846.0,117953.2,0.3,1000,35539.7,16992,5,174
1781953974.323,2014.0,94.2,97.65,81.49,75.31,9942.5,117856.6,0.3,1000,35539.7,16992,5,174
1781953977.323,2017.0,93.55,110.09,84.34,76.26,9923.8,117875.4,0.3,1000,35539.7,16992,11,174
1781953980.324,2020.0,94.61,110.09,84.34,76.26,9782.1,118017.1,0.3,1000,35539.7,16992,11,174
1781953983.324,2023.0,95.32,111.21,85.0,76.52,9801.3,117997.8,0.3,1000,35539.7,16928,11,174
1781953986.324,2026.0,93.5,111.21,85.0,76.52,9841.0,117958.1,0.3,1000,35539.7,16864,11,174
1781953989.327,2029.0,94.07,116.48,86.52,77.06,9833.3,117965.9,0.3,1000,35539.7,16864,11,174
1781953992.327,2032.0,93.87,111.71,86.03,76.95,9805.1,117994.0,0.3,1000,35539.7,16864,11,174
1781953995.327,2035.0,92.1,111.71,86.03,76.95,9993.5,117805.6,0.3,1000,35539.7,16928,11,174
1781953998.327,2038.0,93.8,108.69,85.83,76.94,9907.5,117891.7,0.3,1000,35539.7,16928,11,174
1781954001.327,2041.0,93.01,108.69,85.83,76.94,9877.3,117921.9,0.3,1000,35539.7,16864,5,174
1781954004.328,2044.0,92.93,103.83,85.2,76.78,9879.7,117919.5,0.3,1000,35539.7,16928,5,174
1781954007.328,2047.0,93.71,104.17,85.58,76.95,9903.3,117895.9,0.3,1000,35539.7,16992,5,174
1781954010.328,2050.0,94.16,104.17,85.58,76.95,9790.6,118008.6,0.3,1000,35539.7,16992,5,174
1781954013.328,2053.0,93.51,101.19,85.27,76.89,9788.0,118011.2,0.3,1000,35539.7,16992,9,175
1781954016.328,2056.0,94.1,101.19,85.27,76.89,9865.1,117934.1,0.3,1000,35539.7,17056,9,175
1781954019.328,2059.0,94.55,96.53,84.57,76.71,9916.4,117882.7,0.3,1000,35539.7,17120,9,175
1781954022.329,2062.0,92.71,93.12,84.06,76.59,10002.8,117796.3,0.3,1000,35539.7,17184,9,175
1781954025.329,2065.0,94.04,93.12,84.06,76.59,9959.5,117839.6,0.3,1000,35539.7,17312,9,175
1781954028.33,2068.0,92.37,91.19,83.81,76.55,9950.2,117849.0,0.3,1000,35539.7,17376,9,175
1781954031.33,2071.0,94.09,91.19,83.81,76.55,9874.2,117925.0,0.3,1000,35539.7,17376,9,175
1781954034.33,2074.0,93.72,87.73,83.22,76.4,9777.1,118022.1,0.3,1000,35539.7,17376,9,175
